,Name,kdr,maps_played,roundsPerMap,rounds_played,url,Win,Tie,Loss
0,Grayhound,1.23,116,24.620689655172413,2856,https://www.hltv.org//stats/teams/8008/Grayhound?startDate=2018-05-16&endDate=2018-11-16,88,0,28
1,Astralis,1.21,130,25.83076923076923,3358,https://www.hltv.org//stats/teams/6665/Astralis?startDate=2018-05-16&endDate=2018-11-16,107,0,23
2,Entity,1.16,32,26.0,832,https://www.hltv.org//stats/teams/7348/Entity?startDate=2018-05-16&endDate=2018-11-16,21,0,11
3,Uniquestars,1.09,20,24.95,499,https://www.hltv.org//stats/teams/7739/Uniquestars?startDate=2018-05-16&endDate=2018-11-16,13,0,7
4,TeamOne,1.15,130,25.20769230769231,3277,https://www.hltv.org//stats/teams/6947/TeamOne?startDate=2018-05-16&endDate=2018-11-16,85,0,45
5,Tainted Minds,1.13,104,24.875,2587,https://www.hltv.org//stats/teams/7517/Tainted%20Minds?startDate=2018-05-16&endDate=2018-11-16,72,0,32
6,Vitality,1.18,23,25.391304347826086,584,https://www.hltv.org//stats/teams/9565/Vitality?startDate=2018-05-16&endDate=2018-11-16,17,0,6
7,ORDER,1.18,126,25.603174603174605,3226,https://www.hltv.org//stats/teams/8668/ORDER?startDate=2018-05-16&endDate=2018-11-16,91,0,35
8,Dignitas,1.11,65,26.015384615384615,1691,https://www.hltv.org//stats/teams/5422/Dignitas?startDate=2018-05-16&endDate=2018-11-16,43,0,22
9,OpTic India,1.13,22,25.363636363636363,558,https://www.hltv.org//stats/teams/9167/OpTic%20India?startDate=2018-05-16&endDate=2018-11-16,17,0,5
10,Valiance,1.09,134,26.79850746268657,3591,https://www.hltv.org//stats/teams/8481/Valiance?startDate=2018-05-16&endDate=2018-11-16,75,1,58
11,FURIA,1.11,82,25.463414634146343,2088,https://www.hltv.org//stats/teams/8297/FURIA?startDate=2018-05-16&endDate=2018-11-16,52,2,28
12,SK,1.05,39,26.205128205128204,1022,https://www.hltv.org//stats/teams/6137/SK?startDate=2018-05-16&endDate=2018-11-16,24,0,15
13,Virtue,1.22,50,25.42,1271,https://www.hltv.org//stats/teams/7830/Virtue?startDate=2018-05-16&endDate=2018-11-16,38,2,10
14,Beyond,1.1,85,25.011764705882353,2126,https://www.hltv.org//stats/teams/8262/Beyond?startDate=2018-05-16&endDate=2018-11-16,50,0,35
15,HAVU,1.12,135,25.881481481481483,3494,https://www.hltv.org//stats/teams/7865/HAVU?startDate=2018-05-16&endDate=2018-11-16,88,0,47
16,Imperial,1.11,44,26.0,1144,https://www.hltv.org//stats/teams/9455/Imperial?startDate=2018-05-16&endDate=2018-11-16,30,0,14
17,ViCi,1.15,33,26.363636363636363,870,https://www.hltv.org//stats/teams/7606/ViCi?startDate=2018-05-16&endDate=2018-11-16,26,0,7
18,MIBR,1.13,109,25.889908256880734,2822,https://www.hltv.org//stats/teams/9215/MIBR?startDate=2018-05-16&endDate=2018-11-16,71,1,37
19,Vision,1.05,87,26.057471264367816,2267,https://www.hltv.org//stats/teams/9227/Vision?startDate=2018-05-16&endDate=2018-11-16,48,0,39
20,BOOT-d[S],1.11,117,25.555555555555557,2990,https://www.hltv.org//stats/teams/7567/BOOT-d%5BS%5D?startDate=2018-05-16&endDate=2018-11-16,71,0,46
21,Ignite,1.07,27,26.0,702,https://www.hltv.org//stats/teams/8706/Ignite?startDate=2018-05-16&endDate=2018-11-16,15,0,12
22,Natus Vincere,1.1,129,26.248062015503876,3386,https://www.hltv.org//stats/teams/4608/Natus%20Vincere?startDate=2018-05-16&endDate=2018-11-16,84,0,45
23,Windigo,1.04,145,26.33103448275862,3818,https://www.hltv.org//stats/teams/8513/Windigo?startDate=2018-05-16&endDate=2018-11-16,91,1,53
24,CyberZen,1.08,101,26.524752475247524,2679,https://www.hltv.org//stats/teams/6503/CyberZen?startDate=2018-05-16&endDate=2018-11-16,65,0,36
